This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Beijing Iwintall Technology Co. Ltd., a.k.a. the following one alias: —Beijing Yiweixun Tongchuang Technology Co., Ltd. Building CN08, No. 1 Balizhuang Dongli, Chaoyang District, Beijing, China; and Building 6A, No. 3 Yanjing Middle Street, Chaoyang District, Beijing, China; and Room 2108, Floor 21, Building 6A, No. 3 Yanjingli Middle Street, Chaoyang District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Beijing Jincheng Huanyu Electronics Co., Ltd., Room 303, Building 7, No. 69, North Third Ring Road, Haidian District, Beijing, China; and No. 64 Mianshan Road, Mianyang City, Sichuan, China; and No. 11 Jindu Section Airport Road, Chengdu, China; and 302, 3rd Floor, Building 7, No 13 Building, Huayuan Road, Haidian District, Beijing, China; and Rm 7-302, No. Jia 13, Huayuan Road, Haidian, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 34497, 6/5/20.
Beijing Jingyuan Microelectronics Technology Co., Ltd., a.k.a., the following two aliases: —Zhongke Jingyuan Microelectronics Technology (Beijing) Co., Ltd.; and —Casue. No. 156, Jinghai 4th Road, Building 12, 5th Floor, Beijing Economic and Technological Development Zone, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Kaishitong Semiconductor Co., Ltd., a.k.a., the following one alias: —Beijing Kingstone Semiconductor. Floor 1, Building 2, No. 15, Jingsheng South 4th Street, Beijing Economic and Technological Development Zone (Tongzhou), Beijing, China; and 3rd Floor, Block A2, Digital Manor, No. 1 Disheng West Road, Beijing Economic and Technological Development Zone, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Kevins Technology Development Co., Ltd., a.k.a., the following one alias: —Beijing Kvs Science & Tech. Development Co., Ltd. Room A220, Linglong Tiandi, No. 160, West Fourth Ring Road North, Beijing, China; and Room 2206, Yingke Building, Beijing, China; and 1712 & 1715 Zhongkun Plaza, 59 Gaoliangqiaoxiejie Street, Beijing, China; and Unit 1702, No. 59 E Street, Sanshan Building, North Building, Fuzhou, China; and Suite 709710, No. 17 Madian East Road, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Beijing Keyi Hongyuan Optoelectronics Co., Ltd., a.k.a., the following three aliases: —RSLaser; —Beijing RSLaser Photoelectric Technology; and —Beijing RSLaser Opto-Electronics. No. 19, Rongxing North 1st Street, Daxing District, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 90 FR 4619, 1/16/25.
Beijing Leike Defense Technology Co., Ltd., a.k.a., the following two aliases: —Rayco Defense; and —Reco Defense. Floor 6, Building 5, Yard No. 2, West Third Ring North Road, Haidian District, Beijing, China; and South of Jianhua Road, Jiandong Village, Lijia Town, Wujin District, Changzhou, Jiangsu, China; and 3rd Floor, Building 5, Lu Xun Cultural and Creative Park, No. 6 Yuanda South Street, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24. 90 FR 44499, 9/16/25.
Beijing Lingxin Intelligent Technology Co., Ltd., 7th Floor, Building 9, No. 1, Zhongguancun East Road, Haidian District, Beijing, China; and Room 4-1106, 11th Floor, No. 28 Chengfu Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 4619, 1/16/25.
Beijing Lion Heart International Trading Company, a.k.a., the following one alias:—Wei Lai Xi Tong Ltd. Suite number 1819, The International Center of Times, Number 101, Shoa Yao Ju BeiLi, Chaoyang District, Beijing, China; and Room 1318-20, 13F, Hollywood Plaza, 610 Nathan Road, Mongkok Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 56003, 9/18/14.85 FR 83769, 12/23/20.
Beijing Liuhe BGI, a.k.a., the following one alias:—Beijing Liuhe Huada Gene Technology. Room 106, Building 1, No. 25, North Taipingzhuang Road, Haidian District, Beijing. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 85 FR 44161, 7/22/20.
Beijing Luo Luo Technology Development Co., Limited, Room 903, Building 1, No. 4 Wangjing Road, Chaoyang District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | See §§ 744.2(d) and 744.3(d) of this part | 88 FR 38741, 6/14/23.
Beijing Machinery Industry Automation Research Institute Co., Ltd., a.k.a., the following three aliases: —Beijing Research Institute of Automation for Machinery Industry; —RAIMB; and —Beizi Institute. No. 113, Xinlong Road, Zhonglou District, Changzhou City, China; and Building 1,6, or 8, No. 1 Jiaochangkou Street, Xicheng District, Beijing, China; and Room 208, 2nd Floor, Building 13, Yard 53, Yangqi Street, Yangqi Economic Development Zone, Huairou District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 77508, 12/19/22.
Beijing Moreget Creative Technology Co., Ltd., a.k.a., the following three aliases: —Beijing Mojie Innovation Technology Co., Ltd.; —Beijing Moreget Innovation Technology; and —Beijing Moji Innovation Technology Co., Ltd. Room 101, Building 6, Yingfu Road, Beijing, China; and No. 1, Yard 30, Wuquan South Road, Fengtai District, Beijing; and Room 101, Floor 1, Building 14, Baosheng South Road, Beijing, China; and Room 702, Tower B, Austrian International Center, Beijing, China; and Haige Industrial Park, Yard 30, South Wuquan Road, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 84462, 10/23/24.
Beijing Nanjiang Aerospace Technology Co., Ltd., Room 1104-2, Floor 11, Building 2, No. 19-1, Haidian Road, Haidian District, Beijing, China; and Room 813, Floor 8, Building 2, No. 19-1 Haidian Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 9390, 2/14/23.
Beijing Naura Microelectronics Equipment Co., Ltd., a.k.a. the following five aliases: —Beijing Naura; —Northern Huachuang Microelectronics Equipment; —Beijing Naura Microele Eq Co.; —Beifang Huachuang Microelectronics Equipment; and —Beijing Naura Microelectronics. No. 8, Wenchang Avenue, Beijing Economic and Technological Development Zone, Beijing, China; and No. 1 Jiuxianqiao East Road, Chaoyang District, Beijing, China; and Room 101, Floor 1 to 4, Building 1, No. 20, Jinshi Road, Mafang Town, Pinggu District, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Naura Semiconductor Equipment Co., Ltd., Room 101, Floor 1 to 4, Building 1, No. 20, Jinshi Road, Mafang Town, Pinggu District, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Opto-Electronics Technology Company, a.k.a., the following one alias:—BOET No. 4, Jiuxianqiao Road, Chaoyang District, Beijing, China, 100015. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 80 FR 44849, 7/28/15.
Beijing Plenary Technology Co., Ltd., Room 1002, 10th Floor, Building 7, No. 6 Zhuoxiu North Street, Beijing, China; and Room 710, Building 13th Yard 5T, Yihebei Road, Fangshan District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Beijing Rageflight Technology Co., Ltd., a.k.a., the following three aliases: —Beijing Rageflight; —Shangyi Technology (Beijing) Co., Ltd.; and —Sunwing Technology (Beijing) Co., Ltd. 201-212073, Zone 6, Zhongguancun Science and Technology Park, Beijing, China; and 14th Floor, Shining Building, No. 35 Xueyuan Road, Beijing, China; and Building D, No. 2-2 Shangdi Information Road, Beijing, China; and B306, Solefish Entrepreneurship Park, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Beijing Ruidakang Technology Co., Ltd., a.k.a., the following two aliases: —Beijing Ruida Kang Technology Co., Ltd.; and —RuiDaKangDP. Room 301, 3rd Floor, Comprehensive Building, East Courtyard, Houtun Village, Xiaoying Road, Qinghe, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Beijing Ryan Wende Science and Technology Co., Ltd., a.k.a. the following one alias: —Beijing Reiyuan Wende Science and Technology Company Limited. Room 1001, 10th Floor, Building 2 (Longsheng Building B), No. 5, Rongchang East Street, Economic and Technological Development Zone, Beijing, China; and Attachment 7, No. 45 Fang Cao Street, High-tech Zone, Chengdu, China; and Unit 6, Floor 21, Guangdong Asia International Hotel, No. 326, Huanshi East Road, Yuexiu District, Guangzhou, China; and Room 203, Building 10, No. 6251 Shangchuan Road, Pudong New Area, Shanghai, China; and Room 200, No. 97, Zhongshan Road, Heping District, Shenyang, China; and Room 20, 30th Floor, Unit A, Genesis Plaza, No. 549 Jiefang Avenue, Jianghan District, Wuhan, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Beijing Sensetime Technology Development Co., Ltd., a.k.a., the following two aliases: —Beijing Shangtang Technology Development Co., Ltd.; and —Sense Time. 5F Block B, Science and Technology Building, Tsing-hua Science Park, Haidian District, Beijing, China. | For all items subject to the EAR. (See §§ 734.9(e) and 744.11 of the EAR) 4 | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 84 FR 54004, 10/9/19. 85 FR 34505, 6/5/20. 85 FR 44159, 7/22/20. 87 FR 62202, 10/13/22.
Beijing Sevenstar Flowmeter Co., Ltd., a.k.a., the following one alias: —Beijing Qixing Flowmeter Co., Ltd. 4S01, 4th Floor, Building 1, No. 8 Wenchang Avenue, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Sevenstar Integrated Circuit Equipment Co., Ltd., a.k.a., the following one alias: —Beijing Qixing Integrated Circuit Equipment Co., Ltd. No. 6 Zhuyuan 3rd Street, Shunyi District, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Shuoke Zhongkexin Electronic Equipment Co., Ltd., a.k.a., the following one alias: —SemiCore ZKX. 1st Floor, Building 1, No. 6, Xingguang 2nd Street, Tongzhou District, Beijing, China and Room 2301, Luguyuyuan Entrepreneurship Building, No. 27 Wenxuan Road, Changsha, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Sinonet Science & Technology Co., Ltd., Building 5, Courtyard No. 7, Dijin Road, Haidian District, Beijing, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 86 FR 36499, 7/12/21.
Beijing Skyverse Technology Co., Ltd., a.k.a., the following one alias: —Beijing Nanolighting Technology Co., Ltd. Room 101-18, Floor 1, Building B1, No. 3 Disheng Middle Road, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Ti-Tech Science and Technology Development Co., a.k.a., the following two aliases: —Beijing Ti-Tech; and —China Ti-Tech Development Co. Ltd. 5F, Building 5 Science and Technology Park, A-2 North Xisanhuan Road, Beijing 100081 China. | For all items subject to the EAR. (See §§ 734.9(g),3 744.21(b), and 746.8(a)(3) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 12171, 2/27/23.
Beijing Tianhaida Technology Co., Ltd. No. 9 Fengde East Road, Yongfeng Industrial Base, Haidian District, Beijing, China; and Room 4038, 4th Floor, Building 2, Yard 9, Fengde East Road, Haidian District, Beijing, China; and Room 4034, Floor 4, Building 2, Yard 9, Fengde East Road, Haidian District, Beijing, China.; and No. 5011, Commerce, Floor 5, Building A10, Runqianqiujiayuan, Haidian District, Beijing, 100039, China; and Floor 4-5, Building 2, No. 9, Fengde East Road, Yongfeng Industrial Base, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Beijing Tianhua, a.k.a., the following seventeen aliases:—Beijing Tianhua International Co., Ltd.;—Beijing BUAA Tianhua Technology Company;—Beijing BUAA Tianhua Technology Co., Ltd.;—Beijing Aerospace Technology Limited Liability Company;—Beihang Tenfine Industry Group;—Beijing Beihang Assets Management Co., Ltd.;—Beijing Beihang Science & Technology Co., Ltd.;—Beijing Aerospace Technology LLC;—Beijing North China Aerospace Science & Technology Ltd., Co.;—Beijing North Space Technology Co., Ltd.;—Beijing the Tianhua Easytouch International Trade Co., Ltd.;—North and Astronautics, Beijing China Times Technology Co., Ltd.;—Beijing Beihang Haier Software Co., Ltd.;—Red Technology;—TRW Navigation Communication Technology Co., Ltd.;—Beijing North Aerospace Co-Technology Co., Ltd.; and—Beijing Full Three Dimensional Power Engineering Co., Ltd. 37 Xue Yuan Rd., Beijing, China; and Room 301, 3f Shining Tower, 35 Xue Yuan Lu, Haidian District, Beijing, China; and Room 311A, 3f Shining Tower, 35 Xue Yuan Lu, Haidian, Beijing, China; and Room 411A, 4f Shining Tower, 35 Xue Yuan Lu, Haidian, Beijing, China; and Room 401, 4f Shining Tower, 35 Xue Yuan Lu, Haidian District, Beijing, China; and Room 402a, 4f Shining Tower, 35 Xue Yuan Lu, Haidian, Beijing, China; and Xueyan Road, Haidian District, Beijing City, 35th Ning Building, Room 402a. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 78 FR 75463 12/12/13.87 FR 51877, 8/24/22.
Beijing Tianyi Huiyuan Biotechnology Co., Ltd., a.k.a., the following two aliases: —Tianyi Huiyuan; and —DNA 1953. Building 2, No. 8 Hangfeng Road, Beijing, China | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 44499, 9/16/25.
Beijing Transemic Information Technology Ltd., a.k.a. the following one alias: —Beijing Tianshenghua Information Technology Co., Ltd. Room 433, Section C, 4th Floor, Building 1, 3rd Street, Shangdi Information Industry Base, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Beijing Transemic Technology Ltd., a.k.a. the following one alias: —Beijing Tianshenghua Technology Co., Ltd. Room 2306, Building C, Jinchangan, No. 82, Middle East Fourth Ring Road, Chaoyang District, Beijing, China; and Room 801, Building C11, No. 219, Tianhua 2nd Road, High-tech Zone, Chengdu, China; and 1st Floor, Building 2, No. 136, Tonghuai Street, Jiangning District, Nanjing, China; and Room 5, 2/F, Phase 2, Xinbao Industrial and Commercial Centre, 116 Ma Tau Kok Road, To Kwa Wan, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Beijing Tsingke Biotech Co., Ltd., a.k.a., the following two aliases: —Beijing Qingke Biotechnology Co., Ltd.; and —Tsingke Biotechnology Co., Ltd. 6th Floor, Building 3, No. 105, Jinghai 3rd Road, Beijing, China; and Room 401, Building 5, Jinghai 4th Road, Beijing, China; and Xiangneng Building, No. 315, Yinpen South Road, Changsha, China; and Building B, No. 2, Xiyuan 8th Road, Hangzhou, China; and 5th Floor, Building 2, No. 9 Qiande Road, Nanjing, China; and Building 11, Jinan Biopharmaceutical Port (Central District), No. 30766 Jingshidong Road, Jinan, China; and Building 2, Courtyard 5, Gaoxin Fifth Street, Beijing, China; and Building 18, Biopharmaceutical Industry Park, No. 21 Chaoqian Road, Suzhou, China; and Building 2, No. 2440 Pingliang Road, Shanghai, China; and Building 1, No. 33 Jinzhou North Road, Fuzhou, China; and Building 3, No. 6 Xinchuang Road, Tianjin, China; and Building C10, No. 199 Haiyu Middle Line, Haikou, China; and Room 701, Experimental Building, Zhengxin Science and Technology Park, No. 2 Gaohua Road, Nanning, China; and No. 871 Longquan Road, Kunming, China; and B1 Building, Block B, Qingdao Industrial Technology Research Institute, No. 17 Songyuan Road, Qingdao, China; and 5th Floor, Building C, Innovation and Entrepreneurship Center, No. 8989 Shangji Road, Xi'an, China; and Room 201-76, No. 115 Long'an Avenue, Chongqing, China; and Building 4, No. 999 Jiangyue Road, Shanghai, China; and Building 6, No. 9 Gaokeyuan 3rd Road, Wuhan East Lake New Technology Development Zone, Wuhan, China; and Building 1, No. 5 Keyuan South Road, Chengdu, China; and Xiangneng Building, No. 317 Yinpennan Road, Changsha, China; and Building 1, No. 188 Kaiyuan Avenue, Guangzhou, China; and No. E5, Henan University Science and Technology Park, No. 11 Changchun Road, Zhengzhou, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 44499, 9/16/25.
Beijing UniStrong Science & Technology Co., Ltd., Courtyard 8, Kechuang 12th Street, Daxing District Beijing, Beijing, 100176 China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 77508, 12/19/22.
Beijing University of Aeronautics and Astronautics (BUAA), a.k.a., the following eleven aliases: —Beihang University; —Beihang University Dongying Research Institute; —Beihang University Hangzhou Innovation Institute; —Beihang University Hefei Innovation Institute; —Beihang University Jiangxi Research Institute; —Beihang University Ningbo Innovation Institute; —Beihang University Qingdao Research Institute; —Beihang University Shenzhen Research Institute; —Beihang University Suzhou Innovation Institute; —Beihang University Taizhou Research Institute; and —Beihang University Yunnan Innovation Institute. 37 Xueyuan Road, Haidian District, Beijing, China; and 393 Songling Road, Laoshan District, Shandong Province, Qingdao City, China; and 8 Shibo Road, Panlong District, Kunming City, China; and 18 Chuanghui Street, Changhe Avenue, Binjiang District, Hangzhou, China; and Group 7, Phase I, 3rd Innovation Base, Kangda Road, Meishan Street, Beilun District, Ningbo, China; and A1 Building, Beihang National University Science Park, 50 meters south of Qianjiang Road, Xinzhan High-tech Zone, Hefei, Anhui, China; and Room B407, Virtual University Park Building, South District, High-tech Zone, Yuehai Street, Nanshan District, Shenzhen, China; and Building 1, Science and Technology Innovation Center, High-tech Zone, Nanchang, China; and No.18 Daoyuan Road, Science and Technology City, High-tech Zone, Suzhou, China; and No. 60, Dong 6th Road, Dongying District, Dongying City, China; and Building 9, 99 Haixiu Road, Taizhou, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 66 FR 24266, 5/14/01. 70 FR 54629, 9/16/05. 75 FR 78877, 12/17/10. 88 FR 13675, 3/6/23.
Beijing University of Posts and Telecommunications (BUPT), a.k.a., the following two aliases: —Beijing University of Posts and Telecommunications, Hangzhou Research Institute; and —Beijing University of Posts and Telecommunications, Shenzhen Research Institute. No. 10 Xitucheng Rd., Haidian District Beijing 100876, China; and A210, Virtual University Park Building, South District, High-tech Park, Yuehai Street, Nanshan District, Shenzhen, China; and 90 Wensan Road, Xihu District, Hangzhou, Zhejiang, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20. 88 FR 13675, 3/6/23.
Beijing Vision Strategy Technology Co., Ltd., a.k.a., the following one alias: —BVST. Room 509-1, 5th Floor, Building 23, Shangdi Jiayuan, Haidian District, Beijing, China; and Room 312, 3rd Floor, Lianchuang Building, No. 2 Dongbeiwang Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 77508, 12/19/22.
Beijing Yuanyin Intelligent Technology Co., Ltd., Room 07-128, 101, 7th Floor, No. 219 Wangfujing Street, Dongcheng District, Beijing, China; and Room 801, 8th Floor, Building 9, No. 1, Zhongguancun East Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 4619, 1/16/25.
Beijing Yunze Technology Co., Ltd., a.k.a., the following three aliases: —Beijing Yunze; —Beijing Yunze Technology Company; and —Yunze Beijing. West of Floor 1, Building 7, Jiajia Garden Courtyard 15, Fengtai Beijing 100000 China; and 201, Floor 2, 36#, Yinhe Garden, Miyun District Beijing 100000 China; and 402, Floor 4, No. 85, Huilongguan W. Street, Changping District Beijing 102200 China. | For all items subject to the EAR. (See §§ 734.9(g),3 744.21(b), and 746.8(a)(3) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 12171, 2/27/23.
Beijing Zhengyuan Chuangshi Consulting Co., Ltd., Room 410, 4th floor, Building 3, No. 9 Guang'an Road, Fengtai District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | See §§ 744.2(d) and 744.3(d) | 88 FR 13675, 3/6/23.
Beijing Zhipu Future Technology Co., Ltd., Room 801, 8th Floor, Building 9, No. 1, Zhongguancun East Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 4619, 1/16/25.
Beijing Zhipu Huazhang Technology Co., Ltd., a.k.a., the following two aliases: —Zhipu AI; and —Beijing Knowledge Atlas Technology Co., Ltd. Floor 10, Building 9, No. 1, Zhongguancun East Road, Haidian District, Beijing, 100080, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 4619, 1/16/25.
Beijing Zhipu Linghang Technology Co., Ltd., Room 306-4, 3rd Floor, Building 6, No. 10 Kegu 1st Street, Beijing Economic and Technological Development Zone, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 4619, 1/16/25.
Beijing Zhipu Qingyan Technology Co., Ltd., Room 202, 2nd Floor, Building 13, No. 98 Lianshihu West Road, Mentougou District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 4619, 1/16/25.
Beijing Zhongdun Security Technology Group Co., Ltd., a.k.a , the following one alias: —Beijing Zhongdun Security Technology Development Co. No. 1, Shouti South Road, Haidian District, Beijing, China; and No. 1 Capital Gymnasium South Road, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 99703, 12/11/24.
Beijing Zhongke Xin Electronic Equipment, a.k.a., the following three aliases: —ZKX; —Zhongkexin; and —CETC Beijing Zhongke Xin Electronic Equipment. No. 6, Xingguang 2nd Street, Zhongguancun Science and Technology Park, Tongzhou District, Beijing, China and Office Building No. 44, North Gate, No. 20 Fuxing Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Beijing Zhongshang Dingsheng Mechanical and Electrical Equipment Co., Ltd., a.k.a., the following four aliases: —China Optics Best Technology; —CoBTec Ltd.; —Beijing CBT Optics Equipment Co., Ltd.; and —China Business Dingsheng. No. 1301-02, Floor 13, Building 3, District 1, No. 29 Kechuang 13th Street, Beijing Economic and Technological Development Zone, Beijing, China; and Building 3, No. 1, Tiansha Road, Tangxia Town, Dongguan City, Guangdong Province, China; and Tower 3 of TianTongTai Valley, 13th Street of Kechuang, ETD District, Beijing, 100176, China; and No. 1501-03, Building C, Tiantontai Science and Technology Financial Valley, No. 29, Kechuang 13th Street, Tongzhou District, Beijing, China; and Room 503, Building 8, Timecourt No. 6 Yard Shuguangxili, Beijing, Chaoyang District, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Belt Consulting Co., Limited., Unit E&F, 13/F Wang Cheong, Commercial Building, No. 249-253 Reclamation St., Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Benico Limited, Valiant Industrial Center, 10th Floor, Room U, Sha Tin, Hong Kong; and 11 On Lai Street, Corporation Park, 6th Floor, Room 617, Sha Tin, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
BGI Research, a.k.a., the following four aliases: —BGI Genomics Institute; —Shenzhen BGI Life Science Research Institute; —Shenzhen Huada Gene Research Inst.; and —Shenzhen Huada Gene Research Institute. Building 11 Beishan Industrial Zone Yantian District, Shenzhen, China, 518085. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 88 FR 13675, 3/6/23.
BGI Tech Solutions (Hongkong) Co., Ltd., a.k.a., the following three aliases: —BGI Tech Solutions (Hongkong) Co., Ltd.; —Hong Kong Huada Gene Technology Service Co., Ltd.; and —Hong Kong Huada Laboratory Co., Ltd. Tai Po Industrial Estate, 16 Dai Fu St Tai Po, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 88 FR 13675, 3/6/23.
Bing Lu, Room 804 Sino Center, 582-592 Sino Center Road, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 32445, 6/5/14.85 FR 83769, 12/23/20.
